,R,L
abany,no,yes
abdefctw,always wrong,not wrong at all
abdefect,no,yes
abhlth,no,yes
abnomore,no,yes
abpoor,no,yes
abpoorw,always wrong,not wrong at all
abrape,no,yes
absingle,no,yes
bible,inspired word,book of fables
colcom,fired,not fired
colmil,not fired,not allowed
comfort,strongly agree,strongly disagree
conlabor,hardly any,a great deal
godchnge,"believe now, always have","don't believe now, never have"
grass,not legal,legal
gunlaw,oppose,favor
intmil,very interested,not at all interested
libcom,remove,not remove
libmil,not remove,remove
libhomo,remove,not remove
libmslm,remove,not remove
maboygrl,true,false
owngun,yes,no
pillok,strongly disagree,strongly agree
pilloky,strongly disagree,strongly agree
polabuse,no,yes
pray,several times a day,never
prayer,disapprove,approve
prayfreq,several times a day,never
religcon,strongly disagree,strongly agree
religint,strongly disagree,strongly agree
reliten,strong,no religion
rowngun,yes,no
shotgun,yes,no
spkcom,not allowed,allowed
spkmil,allowed,not allowed
taxrich,about right,much too low
viruses,definitely true,definitely not true
