,conservative,liberal,incona,inconb
abany,no,yes,yes,no
abdefctw,always wrong,not wrong at all,not wrong at all,always wrong
abdefect,no,yes,yes,no
abhlth,no,yes,yes,no
abnomore,no,yes,yes,no
abpoor,no,yes,yes,no
abpoorw,always wrong,not wrong at all,not wrong at all,always wrong
abrape,no,yes,yes,no
absingle,no,yes,yes,no
bible,inspired word,book of fables,inspired word,book of fables
colcom,fired,not fired,not fired,fired
colmil,not fired,not allowed,not fired,not allowed
comfort,strongly agree,strongly disagree,strongly disagree,strongly agree
conlabor,hardly any,a great deal,hardly any,a great deal
godchnge,"believe now, always have","don't believe now, never have","don't believe now, never have","believe now, always have"
grass,not legal,legal,not legal,legal
gunlaw,oppose,favor,oppose,favor
intmil,very interested,not at all interested,very interested,not at all interested
libcom,remove,not remove,remove,not remove
libmil,not remove,remove,remove,not remove
libhomo,remove,not remove,remove,not remove
libmslm,remove,not remove,remove,not remove
maboygrl,true,false,true,false
owngun,yes,no,yes,no
pillok,strongly disagree,strongly agree,strongly disagree,strongly agree
pilloky,strongly disagree,strongly agree,strongly disagree,strongly agree
polabuse,no,yes,yes,no
pray,several times a day,never,several times a day,never
prayer,disapprove,approve,disapprove,approve
prayfreq,several times a day,never,several times a day,never
religcon,strongly disagree,strongly agree,strongly disagree,strongly agree
religint,strongly disagree,strongly agree,strongly disagree,strongly agree
reliten,strong,no religion,strong,no religion
rowngun,yes,no,yes,no
shotgun,yes,no,yes,no
spkcom,not allowed,allowed,not allowed,allowed
spkmil,allowed,not allowed,not allowed,allowed
taxrich,about right,much too low,much too low,about right
viruses,definitely true,definitely not true,definitely true,definitely not true
