,variation,R_ideology,L_ideology,nsteps
0,0.04902752842441631,-0.973512630352839,0.9751163255612363,10
1,0.05977029767935895,-0.9578059842925372,0.9345412583113655,20
2,0.06826652014921239,-0.9395834534901633,0.9010334998319494,30
3,0.0835908606789173,-0.914158790910116,0.8656798164144577,40
4,0.09010960576426386,-0.9047389988455506,0.8286752926543741,50
5,0.09618127934685186,-0.8292851364124095,0.8158240820398757,60
6,0.10135182665718596,-0.8638515790046434,0.7750134899972403,70
7,0.10925357630784749,-0.8621357885772376,0.7393210674732649,80
8,0.11638498031091596,-0.8416901908047933,0.7441263540567609,90
9,0.11990533864747648,-0.8330339185936456,0.6843247367644528,100
10,0.1236008104383646,-0.8183847848790166,0.6385389610084204,110
11,0.12372645794664128,-0.7815004553196403,0.5999651764014335,120
12,0.1268864183500949,-0.7789499792609201,0.6003127163714075,130
13,0.12732991115369413,-0.7835814158315652,0.6279974071328103,140
14,0.13604581261753826,-0.735784700307515,0.5307007278690739,150
15,0.135946672626973,-0.7082372090022603,0.5388629991628617,160
16,0.13588842524299913,-0.6641349647775934,0.5173151727017103,170
17,0.14119265014308943,-0.7059275897174462,0.521564075122089,180
18,0.14198296971415855,-0.7256735492488431,0.46045388878339477,190
19,0.13995322599702859,-0.699073883675007,0.5168915108405105,200
20,0.14087834313939998,-0.647629721227822,0.5072215436409143,210
21,0.1453417514698761,-0.6322799421140747,0.5250307345395165,220
22,0.1458218682026084,-0.6577407947348352,0.4103606033764676,230
23,0.14807530574368594,-0.5927762445666611,0.39773450420296674,240
24,0.1486356813719997,-0.6489595372411354,0.4043934637525576,250
25,0.1507249948610657,-0.628410035960153,0.4625984687130475,260
26,0.1478264681234,-0.6269002146956515,0.4057237315759994,270
27,0.15172892834600255,-0.6084025074352332,0.3863570747584678,280
28,0.15023073080277125,-0.6233424099383106,0.39812360970409016,290
29,0.1460890965752308,-0.5882851718079147,0.3003602982738465,300
30,0.14825320043053036,-0.5983724424498785,0.3257018112121963,310
31,0.14826360651453324,-0.528445229308109,0.2747778199277558,320
32,0.15341285228660467,-0.6096601032456046,0.3184773712421636,330
33,0.14420130698016279,-0.585434430176184,0.3088039604848493,340
34,0.14726028913375971,-0.574085185318953,0.2540291449820308,350
35,0.14636484997872426,-0.5632584866508734,0.3212798412598946,360
36,0.1478680927336636,-0.5827292013910869,0.2871269692710905,370
37,0.14707206380361032,-0.5578275229637109,0.2534547634953507,380
38,0.14993531280812805,-0.5618185745272448,0.32683858876956434,390
39,0.14924974087337367,-0.5328637891840786,0.27904716322633927,400
40,0.145810662094171,-0.5104907029406176,0.3389423741407521,410
41,0.1463950045463021,-0.5291586455920274,0.24101046080021554,420
42,0.1461429827416915,-0.5477465692377695,0.261310055802875,430
43,0.14528056760933467,-0.5226123422180544,0.23170979790147675,440
44,0.14419021933731332,-0.47185679298024014,0.2823832909818004,450
45,0.14555859428592435,-0.49209172473632395,0.23749383091876158,460
46,0.14389910450150822,-0.446312108413759,0.1718124768908523,470
47,0.14459058372451952,-0.48631951887254665,0.21016556149663077,480
48,0.14352203234007865,-0.46983363584037907,0.2441784508594868,490
49,0.14319954550346672,-0.467516043308995,0.15324077810139858,500
50,0.14531027489532064,-0.46421917923384565,0.22355129772996407,510
51,0.14360369928402322,-0.5244158083018294,0.17643304879102542,520
52,0.14111290451180206,-0.4627911602235112,0.16439684803982235,530
53,0.14139923680029756,-0.42352160360185165,0.14929110331030732,540
54,0.13864805815453216,-0.44455926552248204,0.1611611862102506,550
55,0.14255435264843114,-0.39474681741533846,0.20284811096207306,560
56,0.14288989715767444,-0.4568368075469145,0.14962572263456184,570
57,0.14060484786472593,-0.42673495322057364,0.1402688005093481,580
58,0.13684549483937544,-0.4610778461041588,0.16186427874604029,590
59,0.13954240560656353,-0.4336118161830947,0.16033808387856036,600
60,0.13866713514945267,-0.42794263560068585,0.16865457184424695,610
61,0.13775100985800096,-0.458491138940926,0.12265779399491165,620
62,0.13691417080009075,-0.45551569307868955,0.165024343874929,630
63,0.13970878330297073,-0.410136439745289,0.1466358913113763,640
64,0.1379732476006152,-0.4117717545705372,0.1238832149353051,650
65,0.13690391292286502,-0.38867847722141846,0.16566970988853874,660
66,0.1384652160784792,-0.4705204293158989,0.0985827760576411,670
67,0.13467146486294185,-0.4118338732223842,0.09425176509749354,680
68,0.13456790651811618,-0.40845270339006445,0.149417674856915,690
69,0.13223543358010942,-0.40004852333791624,0.11577640768321681,700
70,0.13416515840299498,-0.3814419859127457,0.09980893045129954,710
71,0.1334771237531513,-0.39360489463188814,0.09365042230592266,720
72,0.134826854831671,-0.3283897211391079,0.09867023121454373,730
73,0.13026528315069025,-0.42459058824284457,0.10477164402945383,740
74,0.1303422648502307,-0.3803084930757466,0.09716899926813434,750
75,0.13057943561877808,-0.3956769403197251,0.10301475991227158,760
76,0.12680018156724446,-0.38450095875815316,0.10112386804444021,770
77,0.13264525557538892,-0.3896722012066109,0.14052213662127008,780
78,0.13263298315691882,-0.3657100872612541,0.057182588641043766,790
